Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Congo,8023.3311,10447.17,10087.302,9384.1143,9064.5166,15135.982,6463.0435,5101.8472,6627.8833,8283.7236,9001.4502,3571.4285,2936.0146,631.39172,196.45175,209.6842,1478.6885,1611.6427,1669.3831,261.60815,83.027184,850.66095,1353.595,427.75153,57.086613,99.80867,520.1488,648.97467,818.31525,1059.6631,977.53119,39.268425,32.795418,21.12676,0.48602673,0.23507287,0.91178483,69.798363,56.119144,26.099768,14.576062,272.01761,,,,,,
Cook Islands,1238.0952,2900.0,5150.0,7157.8945,1473.6842,444.44446,20166.666,3352.9412,823.52942,235.29411,55.555557,2777.7778,277.77777,888.88892,833.33331,38388.891,2000.0,3210.5264,473.6842,157.89473,0.0,368.42105,0.0,10210.526,500.0,0.0,111.11111,0.0,0.0,894.73682,0.0,0.0,300.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Costa Rica,250.24438,354.31567,824.73267,930.2536,159.31157,2957.8857,418.58517,69.274651,66.243553,15.057915,4.1353383,0.36630037,1618.7076,1394.1504,121.56197,10.930772,24.547804,1982.3678,724.90021,81.712059,0.0,9.9686699,6.6722269,7.0594625,7.1675072,5.9755783,0.0,0.0,0.0,0.24236549,0.0,0.23540489,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21017234,0.0,,,,,,
Cote d'Ivoire,12621.411,11124.376,1608.9845,1724.7897,1538.3601,1114.1921,920.30383,1706.1404,1725.4534,756.81122,605.12927,869.80341,2244.7271,3100.7261,1476.1904,1576.1466,1450.8478,779.07159,1121.7048,547.97034,,2065.814,1390.9969,625.72833,773.62292,295.95093,343.32114,339.78873,338.68832,269.81165,192.57695,6.2718148,0.58826673,0.26197213,0.61544776,9.1793737,21.616587,30.055037,6.3961902,2.1851952,2.2191646,2.8128786,,,,,,
Croatia,,,,,,,,,,,,,,,,,24.916248,24.579832,33.805199,18.518518,29.62645,150.96384,26.010929,52.956753,144.25645,6.956912,2.0325203,1.814882,1.3648771,4.3290043,12.317518,0.45682961,0.2287806,0.0,11.71875,0.46072334,1.6173753,2.7822862,0.46544102,0.0,,48.630783,,,,,,
Cuba,1489.4257,1121.53,1559.3043,2631.863,1930.9031,768.33386,398.98322,1860.2793,2358.251,329.7883,330.93741,285.03421,325.72778,83.544304,11.657033,1.1442739,1.1340011,1.5941485,1.1180471,0.18528812,0.0,0.091692649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,
Cyprus,338.00623,0.0,28.87538,177.17717,11.887073,5.8823528,0.0,4.3541365,39.017342,263.68875,4.2979941,1.4204545,1.4044944,0.0,0.0,0.0,5.2151237,1.2771392,24.968788,0.0,0.0,0.0,63.001144,1.1223345,1.1001101,0.0,0.0,,0.0,0.0,0.0,0.97276264,0.0,0.0,0.92421442,0.0,16.172506,0.0,0.88105726,78.671326,8.6805553,0.0,,,,,,
Czechia,,,,,,,,,,,,,,,,,234.01993,81.086304,40.181591,1.3514818,0.86864203,0.48271868,0.96609026,1.3540962,1.8405502,0.19404288,0.87463558,0.58416903,0.39016777,2.9299736,1.6601563,0.0,0.67974365,0.19310611,0.19186492,0.47678077,0.0,1.6084776,2.0780201,1.4158958,20.945372,0.84873635,,,,,,
Democratic Republic of Congo,2592.9717,2228.6262,2543.3591,1791.9417,1518.5735,1149.4427,1236.7113,1410.6292,1110.3293,741.31317,390.95499,652.81262,633.18774,471.48746,407.28641,334.02063,131.85036,,1.6869277,70.788483,312.18652,130.85393,223.18861,131.55373,340.55887,264.38486,175.92828,166.79753,611.32513,427.24265,847.26776,3332.9985,1417.0277,951.36774,206.39679,0.91332978,83.799576,2005.6061,1044.2163,1239.2871,457.26572,65.881859,,,,,,
Denmark,10827.415,2798.1433,11367.054,10262.508,3638.5518,12989.451,5513.0757,6956.2925,3056.022,6492.5781,4141.5166,2578.6077,4592.3755,1224.9365,120.65599,78.947365,35.012642,31.4258,24.941996,22.153728,6.908463,3.8218994,22.6451,11.557408,,,2.621232,2.0530047,5.9557042,0.0,0.0,0.36886758,4.9595885,0.36563072,2.5463805,1.0857763,0.90009004,15.045674,0.35644269,3.0152535,4.7669492,1.5820004,,,,,,
Djibouti,1453.6586,2174.1072,3313.2529,3245.4873,2724.0259,3333.3333,,12088.0,80.519478,,3189.6553,253.52113,,106.12245,894.13989,868.79431,176.27118,21.416803,209.7561,59.870552,,12.698413,636.64594,,290.7489,487.14285,254.87465,107.77626,67.024132,48.748352,92.088196,380.58749,61.557789,29.666254,173.75456,57.347672,8.2256165,56.581985,804.76733,31.215162,,50.701187,,,,,,
Dominica,2375.0,13.888889,1671.2329,1164.3835,0.0,2373.3333,0.0,360.0,26.666666,13.333333,2540.5405,864.86487,616.43835,1138.8889,138.88889,126.76057,183.09859,84.507042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Dominican Republic,826.45947,820.19415,1368.1121,1054.5085,1045.4546,1575.7576,1680.1515,573.68774,603.8822,476.26709,697.26068,680.69037,75.599815,73.762009,100.24627,213.68735,483.99222,1025.389,1024.2335,609.24976,0.38694698,0.0,0.0,0.12250398,1.6875603,32.506821,29.545719,12.992986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19946146,0.0,0.0,0.0,0.0,,,,,,
