Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
El Salvador,,,,,,,45.0,44.0,43.0,46.0,41.0,71.0,51.0,48.0,63.0,73.0,98.0,54.0,55.0,86.0,80.0,93.0,94.0,98.0,99.0,94.0,97.0,95.0,93.0,90.0,93.0,99.0,98.0,99.0,95.0,91.0,92.0,89.0,93.0,94.0,95.0,95.0,90.0,85.0,81.0,82.0,,
Equatorial Guinea,,,,,,,,,,,,11.0,17.0,32.0,46.0,18.0,88.0,85.0,82.0,79.0,80.0,81.0,81.0,82.0,82.0,51.0,50.0,50.0,49.0,48.0,48.0,47.0,47.0,46.0,45.0,45.0,44.0,46.0,49.0,51.0,53.0,50.0,53.0,53.0,53.0,53.0,,
Eritrea,,,,,,,,,,,,,,,,,,,,34.0,51.0,58.0,66.0,73.0,79.0,88.0,76.0,84.0,83.0,92.0,96.0,95.0,94.0,92.0,91.0,93.0,95.0,96.0,98.0,94.0,90.0,97.0,99.0,99.0,99.0,99.0,,
Estonia,,,,,,,,,,,,,,,,,,,,74.0,76.0,81.0,86.0,88.0,89.0,92.0,93.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,87.0,88.0,,
Eswatini,,,,,,,,30.0,38.0,46.0,50.0,54.0,74.0,65.0,85.0,85.0,85.0,80.0,85.0,85.0,94.0,94.0,82.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,87.0,88.0,96.0,97.0,89.0,89.0,89.0,85.0,81.0,,
Ethiopia,,,,,,,4.0,3.0,7.0,7.0,8.0,12.0,10.0,13.0,15.0,23.0,38.0,17.0,12.0,22.0,54.0,38.0,54.0,51.0,44.0,37.0,36.0,35.0,36.0,35.0,35.0,40.0,44.0,49.0,54.0,59.0,64.0,68.0,62.0,55.0,54.0,56.0,57.0,59.0,55.0,58.0,,
Fiji,,,,,,,32.0,40.0,2.0,25.0,22.0,57.0,61.0,64.0,69.0,65.0,84.0,93.0,91.0,96.0,96.0,94.0,94.0,75.0,77.0,79.0,81.0,83.0,85.0,86.0,88.0,90.0,92.0,94.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,,
Finland,,,,,,,,70.0,75.0,81.0,83.0,85.0,87.0,92.0,98.0,95.0,97.0,97.0,99.0,99.0,99.0,98.0,98.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,97.0,98.0,98.0,97.0,97.0,97.0,96.0,95.0,94.0,94.0,96.0,96.0,,
France,,,,,,,,,,15.0,26.0,35.0,39.0,45.0,51.0,58.0,71.0,74.0,76.0,78.0,80.0,83.0,84.0,83.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,87.0,89.0,90.0,89.0,89.0,89.0,89.0,91.0,90.0,91.0,91.0,90.0,90.0,90.0,90.0,,
Gabon,,,,,,,,,,,,58.0,66.0,67.0,68.0,76.0,76.0,71.0,66.0,63.0,60.0,57.0,57.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,62.0,67.0,63.0,62.0,72.0,71.0,70.0,61.0,68.0,64.0,63.0,59.0,62.0,,
Gambia,,,,,,,69.0,70.0,71.0,70.0,79.0,75.0,62.0,88.0,80.0,85.0,86.0,87.0,83.0,87.0,89.0,91.0,94.0,91.0,90.0,90.0,89.0,89.0,90.0,90.0,92.0,91.0,89.0,88.0,92.0,96.0,92.0,91.0,95.0,96.0,96.0,97.0,97.0,90.0,91.0,85.0,,
Gavi countries,,,,,,,2.0,4.0,5.0,7.0,11.0,15.0,24.0,32.0,40.0,49.0,57.0,51.0,55.0,58.0,63.0,64.0,63.0,58.0,57.0,58.0,59.0,60.0,60.0,63.0,65.0,68.0,69.0,70.0,71.0,75.0,77.0,77.0,77.0,77.0,77.0,78.0,78.0,80.0,80.0,81.0,,
Georgia,,,,,,,,,,,,,,,,,,,16.0,61.0,63.0,61.0,65.0,69.0,73.0,76.0,73.0,74.0,75.0,76.0,86.0,90.0,96.0,97.0,97.0,83.0,94.0,91.0,93.0,97.0,92.0,96.0,93.0,95.0,98.0,99.0,,
Germany,,,,,,,25.0,50.0,50.0,47.0,48.0,50.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,89.0,90.0,92.0,91.0,91.0,92.0,92.0,92.0,94.0,94.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,,
Ghana,,,,,,,16.0,23.0,21.0,16.0,10.0,21.0,31.0,51.0,59.0,65.0,61.0,63.0,64.0,66.0,68.0,70.0,71.0,73.0,78.0,81.0,90.0,78.0,78.0,80.0,83.0,83.0,85.0,95.0,86.0,93.0,93.0,91.0,88.0,89.0,92.0,89.0,89.0,95.0,92.0,92.0,,
Greece,,,,,,,,,,,75.0,77.0,39.0,81.0,82.0,76.0,76.0,72.0,72.0,72.0,70.0,70.0,90.0,90.0,89.0,88.0,89.0,91.0,92.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0,97.0,97.0,,
Grenada,,,,,,,,,5.0,7.0,31.0,49.0,62.0,77.0,48.0,89.0,85.0,96.0,73.0,99.0,87.0,88.0,85.0,92.0,97.0,94.0,92.0,99.0,96.0,99.0,74.0,99.0,98.0,98.0,99.0,98.0,95.0,95.0,94.0,94.0,94.0,99.0,95.0,85.0,84.0,94.0,,
Guatemala,,,,,,,23.0,8.0,12.0,9.0,24.0,23.0,55.0,24.0,55.0,60.0,68.0,49.0,59.0,71.0,66.0,83.0,69.0,74.0,79.0,83.0,86.0,91.0,92.0,94.0,95.0,93.0,95.0,86.0,96.0,92.0,93.0,89.0,93.0,85.0,67.0,77.0,86.0,86.0,87.0,90.0,,
Guinea,,,,,,,,15.0,34.0,30.0,29.0,29.0,28.0,28.0,27.0,27.0,35.0,42.0,52.0,55.0,58.0,61.0,61.0,56.0,52.0,40.0,42.0,44.0,46.0,48.0,50.0,51.0,51.0,57.0,55.0,53.0,58.0,62.0,58.0,54.0,50.0,47.0,47.0,47.0,47.0,47.0,,
Guinea-Bissau,,,,,,,,,,27.0,31.0,35.0,59.0,68.0,52.0,65.0,53.0,52.0,60.0,68.0,68.0,45.0,49.0,51.0,61.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,74.0,73.0,71.0,69.0,76.0,83.0,81.0,82.0,84.0,85.0,86.0,86.0,86.0,86.0,,
